,Question,Option 1,Option 2,Option 3,Option 4,Answer,Explanation,Source,Section,Working Group,Series
1669,What is the minimum average BLER required when transmitting on a randomly selected sub-band among the sub-bands with the highest differential CQI offset level for FDD?,0.01,0.02,0.05,0.10,Option 3,"According to the requirements specified in Table 9.3.1.1.1-2, when transmitting on a randomly selected sub-band among the sub-bands with the highest differential CQI offset level for FDD, the average BLER for the indicated transport formats shall be greater or equal to 0.05. This ensures reliable transmission and reception of data in the downlink direction.",3GPP TS 36.101,9.3.1.1.1 FDD,RAN4,"3GPP Series : 36 , LTE (Evolved UTRA), LTE-Advanced, LTE-Advanced Pro radio technology"
1670,What information does the eNodeB include in every S1-AP UPLINK NAS TRANSPORT message when Dual Connectivity is activated for the UE?,Only the TAI+ECGI of the current cell,Only the PSCell ID,The TAI+ECGI of the current cell and the MME's IP address,The TAI+ECGI of the current cell and the PSCell ID,Option 4,"When Dual Connectivity is activated for the UE, the eNodeB needs to include both the TAI+ECGI of the current cell and the PSCell ID in every S1-AP UPLINK NAS TRANSPORT message. This allows the MME to correctly produce a TAU accept message with the UE's current TAI.",3GPP TS 23.401,5.3.3.0A Provision of UE's TAI to MME in ECM-CONNECTED state,SA WG2,"3GPP Series : 23 , Technical realization (""stage 2"")"
1671,What initializes the pseudo-random sequence generator for reference-signal sequences in E-UTRA?,Slot number within a radio frame,OFDM symbol number within the slot,"c_init, which is computed at the start of each OFDM symbol",Radio frame number,Option 3,"The pseudo-random sequence generator for reference-signal sequences in E-UTRA is initialized with c_init, which is computed at the start of each OFDM symbol. This ensures that the pseudo-random sequence is generated consistently and predictably, allowing for accurate synchronization and channel estimation in wireless communication systems.",3GPP TS 36.211,6.10.1.1 Sequence generation,RAN1,"3GPP Series : 36 , LTE (Evolved UTRA), LTE-Advanced, LTE-Advanced Pro radio technology"
1672,What is the main purpose of the Tracking Area list management function in E-UTRAN?,To allocate and reallocate a single Tracking Area Identity to the UE.,"To allocate and reallocate a set of tracking areas to the UE, reducing the chance of rapid tracking area updates.",To determine the RAT type the UE is camping on based on the Tracking Area indicated in the INITIAL UE MESSAGE.,To ensure the UE initiates tracking area update procedure when moving between MMEs with different EPS bearer support.,Option 2,"The main purpose of the Tracking Area list management function is to allocate and reallocate a set of tracking areas to the UE, which reduces the chance of rapid tracking area updates by making the center of this set close to the UE's current location. This concept is specific to E-UTRAN and allows for more efficient tracking area management.",3GPP TS 23.401,4.3.5.3 Tracking Area list management,SA WG2,"3GPP Series : 23 , Technical realization (""stage 2"")"
1673,What happens when an error occurs in the processing of one or more N32-f messages between two SEPPs?,The SEPP ignores the error and continues with the current connection.,"The SEPP sends a signalling message to the peer SEPP using a new N32-c connection, but does not include any information about the source message(s).",The SEPP terminates all existing connections and establishes a new connection before sending an error report.,"The SEPP creates a signalling message with cause code and includes the corresponding message ID(s) from the metadata section of the N32-f message, to inform the peer SEPP about the source message(s).",Option 4,"When an error occurs in the processing of one or more N32-f messages between two SEPPs, the SEPP creates a signalling message with cause code and includes the corresponding message ID(s) from the metadata section of the N32-f message. This allows the peer SEPP to identify the source message(s), such as HTTP Request or Response, on which the other SEPP found the error.",3GPP TS 33.501,13.2.2.3 Procedure for error detection and handling in SEPP,SA WG3,"3GPP Series : 33 , Security aspects"
1674,What is the purpose of the Guaranteed Flow Bit Rate (GFBR) in a GBR QoS Flow?,To limit the bit rate to the highest expected by the QoS Flow.,To guarantee a minimum bit rate that will be provided by the network to the QoS Flow over the Averaging Time Window.,To determine the relative priority of QoS Flows based on their Priority Level.,"To discard or delay excess traffic at the UE, RAN, or UPF.",Option 2,"The GFBR is a QoS parameter that guarantees a minimum bit rate that will be provided by the network to the QoS Flow over the Averaging Time Window. This ensures that the QoS Flow receives a consistent and reliable data transfer rate, which is essential for applications that require low latency and high throughput.",3GPP TS 23.501,5.7.2.5 Flow Bit Rates,SA WG2,"3GPP Series : 23 , Technical realization (""stage 2"")"
1675,What is the effect of receiving a PROGRESS message on the mobile station's call control timers during the establishment or release of a call?,The mobile station will start timer T310 immediately.,The mobile station will reset all call control timers related to that call.,The mobile station will ignore the PROGRESS message and continue with normal call processing.,The mobile station shall stop all call control timers related to that call.,Option 4,"According to the specification, when a mobile station receives a PROGRESS message during the establishment or release of a call, it is required to stop all call control timers related to that call. This ensures that the mobile station does not initiate any further actions until the network provides additional instructions.",3GPP TS 24.008,5.5.6 Progress,CT WG1,"3GPP Series : 24 , Signalling protocols (""stage 3"") - user equipment to network"
1676,What is the condition under which a UE may deactivate the AS layer and activate Power Saving Mode (PSM) when timer T3324 expires?,The UE is attached for emergency bearer services or has a PDN connection for emergency bearer services.,"The UE is in EMM-IDLE mode, has no PDN connection for emergency bearer services, and is not attached for access to RLOS.","The UE receives an ""Extended wait time"" from lower layers and timer T3324 has expired, but only if the UE had already been allocated timer T3324 with a value different from ""deactivated"".",The UE is in EMM-REGISTERED.NORMAL-SERVICE state.,Option 2,"According to the text, when timer T3324 expires, a UE may deactivate the AS layer and activate PSM if it is in EMM-IDLE mode, has no PDN connection for emergency bearer services, and is not attached for access to RLOS.",3GPP TS 24.301,5.3.11 Power saving mode,CT WG1,"3GPP Series : 24 , Signalling protocols (""stage 3"") - user equipment to network"
1677,What is the primary purpose of allowing an operator to define a minimum available capacity for a network slice in a 5G system?,To ensure that a specific network slice always has priority over other slices.,"To guarantee a certain level of service quality for critical communications, such as emergency services or mission-critical communications.",To enable the operator to charge different rates for different network slices based on their capacity.,To allow the operator to easily monitor and manage network slice performance.,Option 2,"Defining a minimum available capacity for a network slice ensures that critical communications or services within that slice always have sufficient resources, thereby guaranteeing a certain level of service quality. This is particularly important for mission-critical or emergency services where reliability and performance are paramount.",3GPP TS 22.261,6.1.2.2 Management,SA WG1,"3GPP Series : 22 , Service aspects (""stage 1"")"
1678,When does the UE start ciphering and deciphering of NAS messages?,Immediately after establishing a new N1 NAS signalling connection,After the secure exchange of NAS messages has been established for an N1 NAS signalling connection,Only when the AMF indicates the use of a non-null ciphering algorithm in the 5G NAS security context,"Never, as ciphering is only applied by the AMF",Option 2,"According to the specification, the UE starts ciphering and deciphering of NAS messages when the secure exchange of NAS messages has been established for an N1 NAS signalling connection. This ensures that all subsequent NAS messages are sent ciphered until the N1 NAS signalling connection is released or the UE performs inter-system change to S1 mode.",3GPP TS 24.501,4.4.5 Ciphering of NAS signalling messages,CT WG1,"3GPP Series : 24 , Signalling protocols (""stage 3"") - user equipment to network"
1679,What is the maximum number of MBMS SAIs that an MBMS Service Area (MBMS SA) can include?,128,256,512,1024,Option 2,"According to the specifications, each MBMS SA shall not include more than 256 MBMS SAIs. This is a key constraint in defining the structure of MBMS Service Areas and ensures that the number of SAIs within an SA remains manageable.",3GPP TS 23.003,15.3 Structure of MBMS SAI,CT WG4,"3GPP Series : 23 , Technical realization (""stage 2"")"
1680,What is the purpose of a guard period created by a Narrowband Internet of Things (NB-IoT) User Equipment (UE) in Time Division Duplexing (TDD) operation for frame structure type 2?,To allow the UE to receive the first part of the first Orthogonal Frequency Division Multiplexing (OFDM) symbol of a downlink subframe immediately following an uplink subframe.,To enable the UE to transmit the first part of the first OFDM symbol of an uplink subframe immediately following a downlink subframe.,To permit the UE to operate in Frequency Division Duplexing (FDD) mode.,"To prevent the UE from receiving the first part of the first OFDM symbol of a downlink subframe immediately following an uplink subframe, for 15-kHz subcarrier spacing on an NB-IoT carrier.",Option 4,"The guard period is created by the UE to avoid interference between uplink and downlink transmissions in TDD operation. By not receiving the first part of the first OFDM symbol of a downlink subframe immediately following an uplink subframe, the UE ensures that there is a sufficient gap between the two transmissions, thereby preventing interference and ensuring reliable communication.",3GPP TS 36.211,10.2.2.4 Guard period for TDD operation,RAN1,"3GPP Series : 36 , LTE (Evolved UTRA), LTE-Advanced, LTE-Advanced Pro radio technology"
1681,"In MR-DC, what type of random access procedure is supported on all serving cells in both MCG and SCG for 4-step RA type?",Contention Free Random Access (CFRA) only,Contention Based Random Access (CBRA) only,"Both CFRA and CBRA, but only on PCell and PSCell",Both CFRA and CBRA,Option 4,"In MR-DC, for 4-step RA type, contention based random access (CBRA) procedure is supported on both PCell and PSCell while contention free random access (CFRA) procedure is supported on all serving cells in both MCG and SCG. This indicates that both CBRA and CFRA are supported on all serving cells in MR-DC for 4-step RA type.",3GPP TS 37.340,6.1 MAC Sublayer,RAN2,"3GPP Series : 37 , Multiple radio access technology aspects"
1682,What triggers the measurement of normally released calls (QCI1 E-RAB) initiated by MME in RLF detected conditions?,Reception of E-RAB Release Command for QCI1 with “Cause” equal to “Normal Release” from MME when RLF is detected on eNB side.,Detection of RLF on UE side within a predefined time interval (e.g. 1 second).,Initiation of a new call by the UE in QCI1 E-RAB conditions.,Handover of an ongoing call from one eNB to another.,Option 1,"The measurement is triggered when MME sends an E-RAB Release Command for QCI1 with “Cause” equal to “Normal Release” and RLF is detected on the eNB side within a predefined time interval, indicating that the call was normally released due to radio link failure.",3GPP TS 32.425,4.2.2.9 Number of Normally Released Calls (QCI1 E-RAB) initiated by MME in RLF Detected Conditions,SA WG5,"3GPP Series : 32 , OAM&P and Charging"
1683,What happens to the SN RRC and UP keys when the SN releases the last UE radio bearer or when the SN is changed?,The SN RRC and UP keys are updated with new values.,The SN RRC and UP keys are stored for future use.,The SN RRC and UP keys are transferred to a different network node.,The SN and UE delete the SN RRC and UP keys.,Option 4,"When the SN releases the last UE radio bearer or when the SN is changed, the SN and UE are required to delete the SN RRC and UP keys to ensure security and prevent any potential misuse of these keys. This is a critical step in maintaining the security of the 5G system.",3GPP TS 33.501,6.10.2.3 SN release and change,SA WG3,"3GPP Series : 33 , Security aspects"
1684,What information does a User Equipment (UE) include in the onDemandSIB-RequestList when requesting required System Information Blocks (SIBs)?,requestedSIB-List and requestedPosSIB-List,only requestedSIB-List,only requestedPosSIB-List,neither requestedSIB-List nor requestedPosSIB-List,Option 1,"According to the Radio Resource Control (RRC) protocol specification, when a UE requests required SIB(s), it includes the requestedSIB-List in the onDemandSIB-RequestList. Similarly, when requesting required posSIB(s), it includes the requestedPosSIB-List in the onDemandSIB-RequestList. Therefore, the correct answer is that the UE includes both requestedSIB-List and requestedPosSIB-List in the onDemandSIB-RequestList.",3GPP TS 38.331,5.2.2.3.6 Actions related to transmission of DedicatedSIBRequest message,RAN2,"3GPP Series : 38 , Radio technology beyond LTE"
1685,What are the two options for Sidelink HARQ feedback using PSFCH?,"One option uses PSFCH to transmit ACK or NACK on a shared resource, while the other option uses PSFCH to transmit only NACK on a dedicated resource.","One option uses PSFCH to transmit either ACK or NACK using a resource dedicated to a single PSFCH transmitting UE, while the other option uses PSFCH to transmit NACK, or no PSFCH signal is transmitted, on a resource that can be shared by multiple PSFCH transmitting UEs.","One option uses PSFCH to transmit ACK only on a dedicated resource, while the other option uses PSFCH to transmit NACK only on a shared resource.","One option uses PSFCH to transmit no signal on a dedicated resource, while the other option uses PSFCH to transmit either ACK or NACK on a shared resource.",Option 2,"The correct answer is Option 2 because it accurately describes the two options for Sidelink HARQ feedback using PSFCH as mentioned in the text. In one option, PSFCH transmits either ACK or NACK using a dedicated resource, while in the other option, PSFCH transmits NACK or no signal on a shared resource.",3GPP TS 38.300,5.7.4.1 HARQ feedback,RAN2,"3GPP Series : 38 , Radio technology beyond LTE"
1686,What is the purpose of maintaining a counter for each user in the HE/AuC?,To store the user's authentication history,To generate a random number for encryption,To increment and generate a fresh sequence number for authentication vectors,To track the user's location,Option 3,"The HE/AuC maintains a counter to generate a fresh sequence number by incrementing SEQHE, which is used to create the next authentication vector. This ensures that each authentication vector is unique and cannot be reused.",3GPP TS 33.102,C.1.1.2 Generation of sequence numbers which are not time-based,SA WG3,"3GPP Series : 33 , Security aspects"
1687,When is the Protocol Configuration Options Information Element included in a message?,When the MS and the network support extended protocol configuration options IE for the PDN connection.,When the network wishes to transmit protocol data to the MS and both ends support extended protocol configuration options IE end-to-end for the PDN connection.,When the network wishes to transmit protocol data to the MS and the extended protocol configuration options IE is not supported by the MS or the network or both end-to-end for the PDN connection.,When the MS initiates a request for protocol configuration options.,Option 3,"The Protocol Configuration Options Information Element is included in a message when the network wants to send protocol data (like configuration parameters, error codes, or messages/events) to the Mobile Station (MS), and either the MS or the network (or both) do not support extended protocol configuration options IE for the PDN connection. This ensures that essential information can still be communicated even if advanced features are not supported by one or both parties involved in the communication.",3GPP TS 24.008,9.5.3.1 Protocol configuration options,CT WG1,"3GPP Series : 24 , Signalling protocols (""stage 3"") - user equipment to network"
1688,What action should a GTPv2 entity take when receiving a GTPv1 message if it does not support GTPv1?,Return a Version Not Supported Indication message and process the received message.,Silently discard the received message.,Send an error message to the sender indicating that GTPv1 is not supported.,Upgrade the received message to GTPv2 and process it.,Option 2,"According to the specifications, if a GTPv2 entity does not support GTPv1 and receives a GTPv1 message, it should silently discard the received message. This ensures that the entity does not attempt to process an unsupported version of the protocol.",3GPP TS 29.274,7.7.2 Different GTP Versions,CT WG4,"3GPP Series : 29 , Signalling protocols (""stage 3"") - intra-fixed-network"
1689,What is the primary purpose of a ProSe Restricted Code in proximity-based services?,To identify a specific UE device.,To authenticate a user for network access.,To correspond to one or more Restricted ProSe Application User ID(s).,To encrypt data transmission between devices.,Option 3,"The ProSe Restricted Code is used to map to one or more Restricted ProSe Application User ID(s), enabling the identification of specific applications or services in proximity-based scenarios. This code plays a crucial role in facilitating communication and service discovery among nearby devices, highlighting its importance in practical telecom scenarios involving proximity-based services.",3GPP TS 23.003,24.6 ProSe Restricted Code,CT WG4,"3GPP Series : 23 , Technical realization (""stage 2"")"
1690,Which of the following messages does not include a sub-attribute of the 3GPP Vendor-Specific attribute?,Access-Challenge,Accounting-Request Interim-Update,Disconnect-NAK,CoA-Request,Option 1,"According to Table 7, the sub-attributes of the 3GPP Vendor-Specific attribute are applicable to Access-Request, Access-Accept, Accounting-Request START, Accounting-Request STOP, Accounting-Request Interim-Update and Disconnect-Request messages. Access-Challenge is not mentioned in this list, making it the correct answer.",3GPP TS 29.061,16.4.7 Sub-attributes of the 3GPP Vendor-Specific attribute,CT WG3,"3GPP Series : 29 , Signalling protocols (""stage 3"") - intra-fixed-network"
1691,How does the OAM system activate QoE measurement collection in the gNB?,Only through direct configuration from the OAM system.,Only through signalling from the OAM via the 5GC.,Either by direct configuration from the OAM system or by signalling from the OAM via the 5GC.,Through UE-associated QoE configuration only.,Option 3,"The correct answer is Option 3 because, according to the text, the feature can be activated in the gNB either by direct configuration from the OAM system (management-based activation) or by signalling from the OAM via the 5GC (signalling-based activation).",3GPP TS 38.300,21.2.1 QoE Measurement Collection Activation and Reporting,RAN2,"3GPP Series : 38 , Radio technology beyond LTE"
1692,What is the primary purpose of the Namf_Communication_ReleaseUEContext service operation in the 5G System (5GS)?,To establish a new UE context in the target AMF during initial attachment procedures.,To modify existing UE context information in the serving AMF.,To release the UE context in the target AMF during handover cancel procedures.,To retrieve UE context information from the serving AMF.,Option 3,"The Namf_Communication_ReleaseUEContext service operation is specifically designed to release the UE context in a target AMF when handover cancel procedures are initiated, allowing for efficient resource management and minimizing unnecessary context maintenance.",3GPP TS 23.502,5.2.2.2.12 Namf_Communication_ReleaseUEContext service operation,SA WG2,"3GPP Series : 23 , Technical realization (""stage 2"")"
1693,What is the purpose of the Namf_Communication_N1N2MessageUnSubscribe service operation in the 5G system?,To subscribe to a particular N1 message type or a specific N2 information type about the UE.,"To unsubscribe from a particular N1 message type or a specific N2 information type about the UE, stopping notifications to the NF.",To update the binding for the consumer NF for the requested N1 message type.,To retrieve the list of subscribed N1 message types or N2 information types for an NF.,Option 2,"The Namf_Communication_N1N2MessageUnSubscribe service operation is used by an NF to unsubscribe from a particular N1 message type or a specific N2 information type about the UE, stopping notifications to the NF. This allows the NF to control which types of messages it receives from the AMF.",3GPP TS 23.502,5.2.2.2.6 Namf_Communication_N1N2MessageUnSubscribe service operation,SA WG2,"3GPP Series : 23 , Technical realization (""stage 2"")"
1694,What is the typical vertical dimension of poles in a medium-voltage line?,Less than 40 m,Between 50-70 m,Greater than 100 m,Varies greatly depending on location,Option 1,"The vertical dimension of poles in a medium-voltage line is typically less than 40 m, which is an important consideration for service coverage and deployment planning.",3GPP TS 22.261,D.4.1.1 Service area and connection density,SA WG1,"3GPP Series : 22 , Service aspects (""stage 1"")"
1695,How do ground-based observation devices contribute to the control of UAVs in a scenario where a UAV control center operates a UAV using 3GPP communication?,They transmit flight commands to the UAV.,They report the location and identity of detected UAVs to the UAV control center.,They provide video images of the UAV's surroundings.,They establish direct device connections with other UAVs.,Option 2,"Ground-based observation devices play a crucial role in enhancing the control of UAVs by reporting the location and identity of detected UAVs to the UAV control center. This information assists the control center in managing the UAV's flight and avoiding collisions, thereby ensuring safe and efficient operation.",3GPP TS 22.825,5.8.2 Scenario,SA WG1,"3GPP Series : 22 , Service aspects (""stage 1"")"
1696,In which mode must the UE be in order to use the transport of NAS messages procedure for carrying SMS messages between the MME and the UE?,EMM-IDLE mode,EMM-CONNECTED mode,EMM-DEREGISTERED mode,EMM-AUTHENTICATED mode,Option 2,"The transport of NAS messages procedure can only be used when the UE is in EMM-CONNECTED mode, as specified in the 3GPP TS 24.301 document. This ensures that the UE has an established connection with the network and can exchange NAS messages for SMS transmission.",3GPP TS 24.301,5.6.3 Transport of NAS messages procedure 5.6.3.1 General,CT WG1,"3GPP Series : 24 , Signalling protocols (""stage 3"") - user equipment to network"
1697,"What is the expected behavior of a UE when it receives a paging message, considering the implementation option for MUSIM UEs?",The UE shall always respond to the paging message.,The UE shall ignore the paging message if it's over non-3GPP access.,"The UE may choose not to respond to the paging message based on information in the message, such as voice service indication.",The UE shall initiate a registration procedure for mobility and periodic registration update upon receiving the paging message.,Option 3,"According to the text, as an implementation option, the MUSIM UE is allowed to not respond to paging based on the information available in the paging message. This indicates that the UE may choose not to respond under certain conditions, making option 3 the correct answer.",3GPP TS 24.501,5.2.3.2.1 NORMAL-SERVICE,CT WG1,"3GPP Series : 24 , Signalling protocols (""stage 3"") - user equipment to network"
1698,What functionality does the Network Slice-specific and SNPN Authentication and Authorization Function (NSSAAF) support when deployed in a Public Land Mobile Network (PLMN)?,Only Network Slice-Specific Authentication and Authorization,Only access to SNPN using credentials from Credentials Holder,"Both Network Slice-Specific Authentication and Authorization, and access to SNPN using credentials from Credentials Holder",Neither Network Slice-Specific Authentication and Authorization nor access to SNPN using credentials from Credentials Holder,Option 1,"When the NSSAAF is deployed in a PLMN, it only supports Network Slice-Specific Authentication and Authorization. This is because the NSSAAF's primary function in this context is to authenticate and authorize network slices within the PLMN.",3GPP TS 23.501,6.2.23 NSSAAF,SA WG2,"3GPP Series : 23 , Technical realization (""stage 2"")"
1699,What is the purpose of the Home Network Private Key held by the ARPF?,To derive CK' and IK' from K in case EAP-AKA' is used.,To generate KAUSF from K in case 5G AKA is used.,To deconceal the SUCI and reconstruct the SUPI by the SIDF.,To store the latest KAUSF generated after successful completion of the latest primary authentication.,Option 3,"The Home Network Private Key held by the ARPF is used by the SIDF to deconceal the SUCI and reconstruct the SUPI. This key material is crucial for secure communication between the UE and the network, ensuring that sensitive information remains protected.",3GPP TS 33.501,6.2.2.1 Keys in network entities,SA WG3,"3GPP Series : 33 , Security aspects"
1700,What security mechanisms are required to protect the N2 reference point between the AMF and the 5G-AN?,"Only DTLS is mandatory for mutual authentication, integrity protection, replay protection, and confidentiality protection.","Both IPsec ESP and IKEv2 certificates-based authentication are required, in addition to supporting DTLS for mutual authentication.","Either IPsec or DTLS can be used, but not both, to provide security for the N2 interface.","No specific security mechanisms are mandated, and it is left to the operator's decision.",Option 2,"According to the specifications, IPsec ESP and IKEv2 certificates-based authentication are required to protect the N2 reference point. Additionally, DTLS shall be supported for mutual authentication, integrity protection, replay protection, and confidentiality protection. This ensures a robust security mechanism for the N2 interface between the AMF and the 5G-AN.",3GPP TS 33.501,9.2 Security mechanisms for the N2 interface,SA WG3,"3GPP Series : 33 , Security aspects"
1701,How does a PEGC serve multiple PINs in a 5GS network?,"A PEGC can use a single PDU session to serve multiple PINs, and differentiate or isolate traffic for each PIN using different DNNs and S-NSSAIs.","A PEGC must use a separate PDU session for each PIN, and cannot share a PDU session among multiple PINs.","A PEGC can only serve one PIN per PDU session, but can have multiple PDU sessions to serve different PINs.","A PEGC cannot serve multiple PINs, and each PIN must be served by a separate PEGC.",Option 1,"According to the text, a PEGC may use a single or multiple PDU sessions to serve multiple PINs. If differentiation or isolation for the traffics to/from different PINs via PEGC is not required in 5GS, one PDU Session may be shared by more than one PIN served by the PEGC. Otherwise, different DNNs and S-NSSAIs shall be applied to distinguish the PINs by different PDU sessions of the PEGC.",3GPP TS 23.501,5.44.3.1 PDU Session Establishment for PIN,SA WG2,"3GPP Series : 23 , Technical realization (""stage 2"")"
1702,What is the duration of the transient period at a symbol boundary within a slot when Intra-slot frequency hopping is applied?,20µs,10µs,30µs,40µs,Option 2,"According to the specifications, for slot boundary, the time mask specified has a transient time of 10µs instead of 20µs. This indicates that when Intra-slot frequency hopping is applied, the transient period at a symbol boundary within a slot is 10µs.",3GPP TS 36.101,6.3.4.7 Symbol / Slot boundary time mask for slot TTI,RAN4,"3GPP Series : 36 , LTE (Evolved UTRA), LTE-Advanced, LTE-Advanced Pro radio technology"
1703,What is the purpose of a Reserved Service Label in a HA-APN Network Identifier?,To identify the MCC and MNC of the operator.,To indicate the type of service requested by the UE.,To specify the FQDN of the Home Agent (HA).,To determine the roaming agreement between operators.,Option 2,"A Reserved Service Label is used to indicate the type of service requested by the User Equipment (UE), which allows the HA to interpret it as a request for a specific service. This label is agreed upon between operators who have roaming agreements, enabling them to provide the required services to their subscribers.",3GPP TS 23.003,21.2.2 Format of HA-APN Network Identifier,CT WG4,"3GPP Series : 23 , Technical realization (""stage 2"")"
1704,In which scenario is the Forbidden TAI(s) Information Element (IE) included in a message?,When the message is sent via terrestrial E-UTRAN access.,When the message is sent via satellite E-UTRAN access.,When the UE is in idle mode.,When the UE is performing a tracking area update.,Option 2,"The Forbidden TAI(s) IE is included only when the message is sent via satellite E-UTRAN access, as specified in the 3GPP TS 24.301 standard. This is to ensure that the UE stores the forbidden tracking areas for regional provision of service correctly when communicating via satellite.",3GPP TS 24.301,"8.2.1.28 Forbidden TAI(s) for the list of ""forbidden tracking areas for regional provision of service""",CT WG1,"3GPP Series : 24 , Signalling protocols (""stage 3"") - user equipment to network"
1705,"In Dual Connectivity scenarios with E-UTRAN as Master RAN node and NR as Secondary RAN node, what information may be included in the destination RAN node address?",Only the candidate en-gNB Identifier,The candidate en-gNB Identifier and a target eNodeB Identifier for the target eNodeB which is X2 connected to the candidate en-gNB and a TAI associated with the en-gNB,"The candidate en-gNB Identifier, a target gNB Identifier, and an S1-U interface identifier",Only the target eNodeB Identifier for the target eNodeB which is X2 connected to the candidate en-gNB,Option 2,"In Dual Connectivity scenarios with E-UTRAN as Master RAN node and NR as Secondary RAN node, the destination RAN node address may include the candidate en-gNB Identifier, a target eNodeB Identifier for the target eNodeB which is X2 connected to the candidate en-gNB, and a TAI associated with the en-gNB. This information is necessary to ensure proper routing of Configuration Transfer messages between the source and destination RAN nodes.",3GPP TS 23.401,5.14.2.1 Addressing,SA WG2,"3GPP Series : 23 , Technical realization (""stage 2"")"
1706,"What is the purpose of the ""Validity time"" input in the Nudsf_UnstructuredDataManagement_Update service operation?",To specify the duration for which the updated data is stored in the UDSF.,To indicate when the NF service consumer intends to retrieve the updated data from the UDSF.,To determine the frequency at which the NF service consumer will be notified about updates to the data.,To define the time zone for the Data Identifier.,Option 1,"The ""Validity time"" input in the Nudsf_UnstructuredDataManagement_Update service operation is used to specify the duration for which the created or updated data is valid. When this validity time has expired, the NF service consumer is notified and the data is removed from the UDSF. This ensures that outdated data does not remain stored unnecessarily.",3GPP TS 23.502,5.2.14.2.5 Nudsf_UnstructuredDataManagement_Update service operation,SA WG2,"3GPP Series : 23 , Technical realization (""stage 2"")"
1707,What is the primary purpose of the UE-initiated UE state indication procedure in a 5G system?,"To deliver the UPSI(s) of the UE policy section(s) and indicate support for ANDSP, URSP provisioning, VPS URSP, and reporting URSP rule enforcement to the PCF.",To update the UE's location information in the network.,To establish a new PDU session.,To release an existing PDU session.,Option 1,"The UE-initiated UE state indication procedure is used to deliver various information from the UE to the PCF, including UPSI(s), support for ANDSP, URSP provisioning, VPS URSP, and reporting URSP rule enforcement. This information is essential for the network to make informed decisions about the UE's capabilities and preferences.",3GPP TS 24.501,D.2.2 UE-initiated UE state indication procedure D.2.2.1 General,CT WG1,"3GPP Series : 24 , Signalling protocols (""stage 3"") - user equipment to network"
1708,What is the purpose of the DL-CCCH-Message class in the Radio Resource Control (RRC) protocol?,It is used for UE-originated messages on the uplink CCCH logical channel.,It is used for Network-originated messages on the downlink DCCH logical channel.,It is used for Network-originated messages on the downlink CCCH logical channel.,It is used for UE-originated messages on the uplink DCCH logical channel.,Option 3,"The DL-CCCH-Message class is specifically defined as the set of RRC messages that may be sent from the Network to the UE on the downlink CCCH logical channel, making option 3 the correct answer. This highlights the importance of understanding the specific purpose and scope of different message classes in the RRC protocol.",3GPP TS 38.331,– DL-CCCH-Message,RAN2,"3GPP Series : 38 , Radio technology beyond LTE"
1709,What information does the CHF return to the PCF if no policy counter identifier(s) is provided in the Initial Spending Limit Report Retrieval?,The status of only relevant policy counters for a policy decision.,"The policy counter status of all policy counter(s) available for this subscriber, including pending policy counter statuses and their activation times.",An error message indicating that the list of policy counter identifier(s) is required.,A notification that no policy counters are available for this subscriber.,Option 2,"According to the text, if the PCF does not provide the list of policy counter identifier(s), the CHF returns the policy counter status of all policy counter(s), which are available for this subscriber. This includes pending policy counter statuses and their activation times.",3GPP TS 23.502,4.16.8.2 Initial Spending Limit Retrieval,SA WG2,"3GPP Series : 23 , Technical realization (""stage 2"")"
1710,What is the unit of measurement for the minimum temperature measurement in E-UTRAN performance management?,Degree Celsius (C°),Degree Fahrenheit (F°),Kelvin (K),Rankine (Ra),Option 1,"The correct answer is Degree Celsius (C°) because the minimum temperature measurement in E-UTRAN performance management is specified to be a real value in Degree Celsius (C°), as stated in the provided text. This unit of measurement is relevant for telecom networks, particularly in the context of environmental monitoring and equipment performance.",3GPP TS 32.425,4.12.3.2 Minimum Temperature,SA WG5,"3GPP Series : 32 , OAM&P and Charging"
1711,What happens when a UE initiates de-registration for both 3GPP access and non-3GPP access in the same PLMN?,The UE will only follow the de-registration procedure for 3GPP access.,The UE will only follow the de-registration procedure for non-3GPP access.,The UE will follow the descriptions for UE-initiated de-registration procedure completion for both 3GPP access and non-3GPP access.,The UE will ignore the de-registration request.,Option 3,"When a UE initiates de-registration for both 3GPP access and non-3GPP access in the same PLMN, it needs to follow the procedures for both accesses. This ensures that the UE is properly de-registered from both networks, allowing for efficient resource management and minimizing potential conflicts or errors.",3GPP TS 24.501,5.5.2.2.5 UE-initiated de-registration procedure completion for 5GS services over both 3GPP access and non-3GPP access,CT WG1,"3GPP Series : 24 , Signalling protocols (""stage 3"") - user equipment to network"
1712,In which of the following scenarios may a serving network establish an emergency call without applying the security mode procedure?,When the UE has a valid (U)SIM and the serving network has obtained authentication vectors.,When the UE is roaming in a network with which it has a roaming agreement.,"When the (U)SIM is absent, making authentication impossible.",When the serving network has successfully authenticated the (U)SIM but the user is not authorized for emergency services.,Option 3,"According to the security procedures outlined in 3GPP TS 33.102, a serving network may establish an emergency call without applying the security mode procedure when authentication is impossible due to the absence of a (U)SIM. This ensures that users can still make emergency calls even if they do not have a valid SIM card or if their SIM card is not permitted to receive non-emergency services from the serving network.",3GPP TS 33.102,6.4.9.2 Security procedures not applied,SA WG3,"3GPP Series : 33 , Security aspects"
